46758 66736 77725 100432 106897,21
7110 13068 14165 31638 56489 72256 74767 80851 106523 109160,108
35088 52344 76665 108377 108806,29
22309 41240 88413 90530 101116 107773,31
16706 45523 60500 68127 103788 105172,20
53636 65873 77588 85843 106177 109046,24
2006 20687 21357 43764 48098 68722 101339 107002,1086
30997 31244 37507 58327 101034 108547,27
22994 40263 57336 107970 108049,29
9327 53080 53865 72814 75053 89682 99954 100899,62
5977 61164 63926 65153 106584 108917,25
44796 64627 94300 100035 105524,26
8567 33648 35255 37052 50076 71312 88724 96747 106968 107751,455
44876 46065 47640 56133 71993 75665 76712 83544 103795 109242,37
13601 36142 58242 69024 79736 87391 100692 106122,42
14179 35897 41671 46962 53628 101053 105687,43
46583 68721 73839 83391 87752 106068 107371,40
3301 13831 48176 76253 100785 101443,202
2445 18788 25774 27700 31818 45823 72036 86428 102681 104512,2031
8038 53475 62630 63051 68124 75343 99833 106939,34
22121 84558 85453 107382 108733,19
9753 26322 86682 101304 106110,36
3705 28780 82189 85730 92105 94042 103125 104398,331
27996 37998 81681 100928 105028,36
10530 41836 42354 43938 53829 59407 65684 72687 99692 103953,58
3473 14616 20538 22319 44689 61769 83444 105880 108635,131
9709 22776 23150 49434 83720 83901 97224 105282 106098,128
9389 20720 31043 34582 45342 53129 69035 71817 99461 104029,90
159 57251 98705 102773 105537,386
8904 9752 21483 24836 74782 101054 108097,48
16663 35831 36201 48400 99791 109024,22
26305 60269 64798 72587 102963 105524,71
24896 31872 44437 46428 103863 107804,86
14880 17397 27280 30352 34517 36154 78735 80342 104870 109201,66
12209 13999 29969 34787 74764 83564 96046 104603 107428,74
3241 8790 28607 62517 89158 92161 104009 108125,180
89 25498 30756 77093 90947 100905 102096,354
13624 13986 14955 58898 100488 103389,191
207 1576 20641 30294 33708 81521 103431 107667,1411
15207 16888 29253 51898 80978 92508 99664 100690,442
39687 49032 62842 100322 101907,25
100 15493 30420 51517 73509 79904 99522 106657,41
1289 17993 18943 53542 96205 102989 104071,39
12352 43489 63885 84911 101902 102886,137
7839 25663 29762 33923 42574 52096 72961 103695 104925,244
13197 19112 32994 66474 68443 86016 105763 106116,33
15580 17365 24327 33363 43800 67870 105947 106810,174
5147 39833 64633 68968 71921 76651 102148 104504,135
9917 26989 32400 55805 78898 80017 101364 105706,29
26612 41753 41968 57878 78108 83979 100340 102782,122
3754 32530 35825 58122 78186 104854 105348,214
5076 10261 36994 106609 108404,45
23070 24350 63367 88521 99661 107354,46
3787 29190 30503 39173 48916 64310 82270 105288 109213,101
73952 79602 81083 101329 101974,18
6344 15304 26137 39660 62452 101373 106469,149
5042 15033 16402 62764 72593 91985 104277 108283,299
28469 37520 40138 53859 57664 73431 100651 102637,86
9584 10970 22515 22794 42314 56889 60616 67481 104188 109308,198
11776 42675 43516 99817 101015,53
20298 26770 97548 106414 108929,23
14331 24964 66467 104862 108127,53
24982 31110 39018 49249 52092 87555 103391 107779,45
2422 4890 72712 78055 102004 106789,143
3495 6858 13860 37300 45152 52509 75139 87121 105505 106715,415
24081 26695 28766 35085 47372 69871 76617 100416 105569,43
6579 8388 17188 23159 49845 100442 107895,216
27597 31150 34666 52347 53011 67732 84378 99443 108140,25
24272 39562 94039 105028 105211,24
62484 73812 96810 103812 107615,12
65156 66294 75811 87354 92362 105749 109132,20
12237 42123 48368 75999 104973 106636,146
8602 25797 30465 38128 50709 57469 99791 103220,159
414 3103 4311 6321 33798 65028 78765 89531 99628 108432,101
2431 5588 24177 57993 64410 102043 108182,248
1208 3710 5115 13492 18957 20226 61846 69298 99739 105158,728
14730 23032 24841 86342 106636 108244,44
47400 69925 71014 78991 99160 102115 106398,30
42939 47568 49687 101266 104515,23
5149 11184 38055 42948 49240 81717 101148 108533,1512
30363 35538 49991 51267 62516 62542 67104 74370 102549 107074,46
590 9433 12394 24513 36725 62884 80243 101283 105262,217
2327 19445 97351 101470 108640,61
29429 32270 37561 39205 40899 49730 64407 76310 99791 104724,152
2196 18170 20038 95195 104038 107365,228
28296 42512 42730 78950 94394 107103 107119,26
26713 30450 40185 40269 59797 85616 102817 107675,23
48400 50844 57404 71149 77751 101892 105710,19
7129 17697 34311 35869 54566 101691 106382,108
8444 17188 23862 38321 39552 41443 67903 102228 105932,88
4748 39556 39847 57989 62049 104589 108581,120
22682 30099 48311 60768 88484 99864 102001,34
26453 45910 57028 68906 69732 76047 94757 107358 108790,39
6930 24209 27614 35873 52633 69352 74539 84633 102815 106477,228
2114 27995 66038 68958 105331 107920,124
26825 32356 61669 80179 103505 105941,25
7307 20023 34080 41063 62688 73265 88209 101179 108019,78
4303 17141 31998 46170 102907 103082,48
3429 8006 19236 23426 57249 58911 85327 91510 104192 107941,189
15716 23152 28925 60235 63894 107264 108227,34
