89 195 262,61070
133 89 46 49 276,172082
133 63 130 81 276 108,196714
80 242 63 108,75268
89 130 131 115 116,160210
63 67 297,92492
109 131 382,56227
133 56 130 131 79 108,184037
56 63 109 114,154636
133 63 130 109 108,170511
133 56 130 49 302,184063
293 80 297,8111
390 56 49 116,175880
56 133 89 130 131,186946
133 89 130 131 250,154093
80 49 116,122074
101 116,43029
72 133 79,111734
72 208 63 131,121823
46 49 239,109975
63 22 89,107410
72 56 63 133 89 130 49 239 109 131 108,262245
56 63 108 79,167396
208 49 116,128124
72 63 108 115,84544
56 67 131,134075
72 101 49 100,106731
49 63 89,178575
56 89 63 297,181122
56 80 130 49 124 114,192988
72 130 116,130982
133 56 63 130 49 375 108,225377
56 133 63 89 67 49,248594
131 56 108 63,162147
72 56 63 133 49 195 109 108,223870
98 49 115,115201
72 208 56 133 130 131 100,174726
89 107 115 116,91571
63 130 109 108,144128
72 214 63 67 49 108,181142
130 109 56 115,149804
214 133 56 130 49 131 116,218414
133 124 195 131,112415
130 366 56 49,180615
423 56 130 49 81,203175
56 63 133 214 130 49 131 108,233639
208 63 89 130,175797
133 49 109 116,154690
63 89 107 109 79 108,136566
133 89 130 131 302,154346
56 89 63 130 49 108,249071
46 180,26158
56 242 63 89,181208
214 67 63,98797
56 89 214 130 49 131,221492
79 89 49,149638
63 89 297,107366
287 49 89,129588
72 63 276,82056
56 133 63 67 130 49,241183
242 133 130 49 100,164510
180 293 239 366 81,41174
242 63 131 420 108,107514
133 80 49 131,134027
56 133 63 49 109 108,209631
63 89 67,125362
214 89 124 79,97041
63 130 107 109 131,147384
130 81 56,166140
133 63 109 115,142568
56 63 131 108,162147
79 63 214,104938
72 116 239,56818
56 130 107 116,173214
63 89 130 108 131 276,172373
72 56 63 133 130 195 131 79 108,228571
56 63 115,152528
208 133 56 49 131 302,173311
72 63 89 130 107 108,179063
130 72 56,146384
56 49 107 116,179594
321 133 49 100,124996
133 56 63 49 287 79,223794
242 46 49 81 100,138708
72 208 49,110121
133 56 63 209 49 131,211382
133 131 56 116,165367
80 250 116,47008
63 89 130 195 131 108,178850
56 63 195 79 108,177731
79 89 63 108,126668
56 46 366,117304
72 133 63 302 49 108,178119
130 79 262,110586
107 89 63 108,108606
89 67 130 276 116,176447
133 89 56 46 49 109,213129
133 56 22 80 49,163130
56 63 214,157925
133 56 63 89 130 209 131 79,242482
80 63 49,150987
72 80 116,57823
208 56 130,144462
133 56 63 130 131 366,197069
208 133 56 63 130 239 131 108,204131
56 130 46 49 131,196313
72 63 239 366 185,82421
262 49 81,117024
72 133 89 49 100,168080
130 109 131 382,94475
296 100,9428
133 56 89 130 195,196327
56 133 130 49 131 100,188346
214 56 80 49,162617
130 195 89,134213
79 56 214,131641
89 80 239 114,54360
56 89 49 81 115,206612
56 133 89 63 80 49 114,235439
133 22 214 100,98713
133 56 130 239 366,155634
375 116,41735
130 276 208 56,147767
195 115 116,59263
262 180,5285
133 56 130 115,157405
180 89 80 49,132133
49 100,95680
420 242 114,5119
130 79 56 195,168307
72 133 56 63 80 49,213356
208 133 56 63 130 302,203333
72 133 56 130 209 49 131 116,218694
67 109 63 108,98261
133 56 49 239 366 185,162254
214 67 56 49 116,201510
242 130 49 124,161747
208 133 63 130 131 114 108,171817
56 49 195,158126
133 63 214 130 49 109 114 108,217750
133 63 89 49 195,207406
130 195 63 108,147827
89 63 108 115,110705
133 56 63 89 49 296 108,232505
214 67 89 239,81563
72 133 56 49 239 109,176566
133 63 297 366,133311
180 293 89 46 49 109,152353
56 130 124,147623
116 180,42991
100 131 56,120006
46 131,69679
72 133 130,126255
133 89 130 195 131 79,182028
133 56 63 49 116,231535
133 56 89 131 250,170648
100 109 419 116,61256
214 80 262 79,51553
133 56 80 130 131,155802
242 101,4839
133 214 49 239,133885
133 56 49 124 131 250,174455
133 56 63 49 124 109,218745
180 56 46 49,165842
63 89 130 209,171737
124 131 302,60918
79 49 133,141769
56 130 421 131,137361
214 89 49 262,141451
56 63 133 214 130 49 262 109 108,240493
214 89 98 49,157269
