421 49 81,33
208 56 63 107 131 108,14
133 67 130 209 131,10
63 130 80 108,41
72 89 130 124,21
133 56 130 49 195,540
56 89 209 49 116,10
124 89 239,48
195 133 131 63,432
133 56 63 209 49,113
56 89 242,59
131 56 108 63,2654
56 133 63 130 109 79,50
208 56 130 195 131,62
56 130 124 116,3
46 180 133,31
79 114 56,30
421 124,25
133 49 296 81,14
56 133 63 130 49 131 79 108,34
124 208,267
133 56 63 130 49 107,121
56 63 133 89 130 109 131 79 108,3
72 101 79,3
208 130 195 116,17
72 56 63 133 130 49 131,179
130 375 131 133,22
72 63 49 107,31
63 131 276,70
114 56 46,19
56 63 130 421,27
63 49 239,89
133 63 107 131,312
208 46 276,57
72 180 46,14
56 214 130 262 131,7
133 56 63 89 49 131 108,73
133 89 46,173
109 49 56 89,188
180 297,16
133 89 56 242 130 49 131,8
63 89 214 108 209,4
124 72 276,8
21 133 63 49,1002
56 63 287 79 108,2
133 56 89 239 131,17
63 49 107,341
391 72,7
242 49 116,90
49 133 89 116,300
208 133 56 130 239 131,4
49 321 116,13
133 56 89 214 130 131,21
56 63 242 130 131 108,60
56 133 80 130 49 109,7
89 130 209 116,8
63 22 130 131 108,16
375 49 100,2
56 130 297,199
133 56 63 89 130 109 131,53
133 130 46 366,2
72 133 130 131 79,108
72 63 108 276,38
130 89 239,73
56 80 49 131,62
130 133 415,60
72 133 130 49,1011
133 89 63 130 131,815
72 63 214 67 108,5
208 81 116,19
49 89 63 108,314
366 46 56 49,9
133 56 130 49 195 109 131 114,2
89 80 239 109 116,2
72 133 56 209 49 116,2
130 80 131 133,197
208 63 434 108,2
79 49 293,3
366 56 49,144
208 242 89 116,2
133 89 130 49 131 116,106
209 49 109,49
133 130 79,1840
63 130 131 382,5
63 89 214 130 108,12
208 109 375,2
133 98 130 131 100,670
56 63 89 108,514
133 56 89 130 49 81,25
56 133 89 130 302 49 131,2
133 49 250,212
242 56 63 195 108,5
133 56 80 49 239 116,2
242 56 130,415
89 46 49 116,28
46 49,6782
133 56 63 239 366,7
208 56 63 130 195 131,17
214 89 262,80
72 56 133 63 130 209 49,4
79 208 131 56,45
214 63 67 108,100
133 56 131 366,72
133 89 56 214 130 49 131,9
208 101 89,18
80 239 79,14
133 130 195 131 79,17
133 56 130 375,13
89 49 115 116,53
214 133 130 46 49,28
56 63 133 130 302 49 131 108,5
133 49 63 108,2819
124 130 276,17
133 130 195 131 116,147
214 89 195,9
49 287 107 116,3
