1109 1298 3515,124772
132 2100,52963
1260 247 332,96593
2 4364,1795477
185 1926 2,1806644
2618 55 85,422726
185 1926 4753,50894
1109 51,194851
4364 7582,42098
196 527,68948
1984 274 5565 7582,64196
4738 97,139650
283 284 55,432771
1134 1698 4489,35405
55 668,312650
326 55,323383
2016 428 477,43180
196 2753 55 75,452295
277 3697 44 51,486352
2682 7,1137175
1926 3792 4753,15964
110 2100,82666
1144 1589 4738,86248
274 721,52811
130 274,57773
2458 284,183277
160 185 48,219487
1853 4364,29960
2104 968,37370
160 2682,72833
160 4642,67297
383 459,44576
284 624 928,394797
132 606,67544
268 3285 624 764,308644
244 624 78,440365
268 3285 624,300859
1260 4982 55,351008
257 412,23649
2016 428,9703
121 1808,143968
2034 213,26321
1036 5130,49236
1144 198,142243
1036 55,348253
2682 3777,12137
244 812,165558
288 968,29076
393 538 623,110040
1298 23778 33 4489,184817
284 55 683,427819
1210 277,34380
247 2682 284 48,334731
284 538 606,239351
968 984,31847
1598 198,132160
238 2618,35700
150 1849 4738,82653
121 326,163229
1337 145 48 94,244170
1598 268,155944
1036 4732 872,67119
282 3777,17219
477 8114,38042
284 3697,187842
110 564,83807
1210 244 2449,179634
1984 33 4938,156130
121 2887,143471
1598 1849,60173
4716 5465,25847
1109 268 681,141137
225 55,325841
244 4377,163960
326 546 55,355119
1197 1527 2449 773,29497
1421 4145,7704
150 246,61470
18 2100 393,240275
257 855,27525
66 99,201213
1144 198 274 4489,186663
267 525,20109
1547 268,119158
2104 284,200736
265 2908 527 984,45836
1144 238 7582,82018
525 527,25581
1298 2815 3697,60030
1132 198,102639
284 29,329077
274 393 55,361951
132 3285 55,319107
1144 1589 48 7582,181169
150 3663,31853
1144 1589,71056
1598 268 7873,156647
1298 6684,35280
6476 75,177507
30602 584,42629
2433 624,221292
268 7873,114815
2036 30602 3424 8504,30461
1036 274,87038
1109 1259 1298,64324
1589 2450,56098
1195 1260,60678
124 60,243955
284 582 606,235011
1374 247 46,188833
1838 55,307187
1242 33 4489,163794
1259 2279,24459
265 4489 5436 58,209331
1926 2618,21376
2 57,1820462
3515 4639,87084
2100 48,129925
2036 3424 8113,16776
1766 8898,31035
122 244,201040
1772 284 3515,225799
268 539,134601
1109 2815 527,58785
1144 9,1186112
246 30601 872,53128
11555 1585 2005,18380
11079 213 5465,43237
160 4799,70342
284 736,189256
2815 4364 7582,61112
1298 4738 5436,89337
1144 33 4489,184148
196 5440,53517
1584 476 58,189675
1036 214 268,170446
4364 673 691,41221
1849 4489,31093
4581 7,1133771
2315 4753,10289
6520 90,96033
1183 2450 268 9111,156783
2450 57,137288
2753 284 55,428737
184 668,44596
1260 2723,51691
121 284,316881
1298 3515 57,201272
1109 2104,42718
290 764,30820
185 274,78267
239 2450,55442
283 4753,21116
124 2450 9111,63881
268 624 764,308343
1038 268 624,305560
1726 5465,25606
114 1584 606,116870
214 30601 30602,26725
185 48 582,192618
284 812,185205
267 277,26991
1260 1820,52031
1132 196,64920
1374 2077,6506
193 4364,38360
4738 7,1132162
1197 75,186827
2458 55,308908
2460 4732,33963
1726 624 71,337097
268 624 7873,300869
247 90,131932
