query,cardinality
34147 44318 89709 92964,2
16257 37941 45395 89465 93294,3
59938 68481 68781 95672 97900,3
41201 94949 98378,1
34635 78073 92485 93841,1
44909 92775 96424,1
5583 71162 89680 97700,1
46848 86943 91047 91599,3
48535 62993 63569 90985 98984,2
15275 22885 63029 89712 91883,1
64821 86452 89880 94771,1
40740 79827 92330 98239,2
25199 27062 33704 95583 96022,2
68683 96346 96948,1
20832 56004 92541 97782,1
29072 30917 48247 91996 92301,2
72226 91242 93071,1
65456 90620 94307,1
7375 11595 87930 95658 96715,9
47403 94374 98455,1
23295 26340 63017 94998 99048,1
34992 93410 94563,1
7478 19330 31324 54525 98289 98767,5
64791 92985 98409,1
162 10264 61978 91301 95248,11
3283 27428 33802 92474 98497,18
42765 47189 63594 91193 98360,2
19532 43292 82303 90261 96366,2
37391 50043 58630 90862 99110,5
12826 80375 91894 95052,2
22891 26049 88654 96394 96783,1
18714 23649 62811 93437 96382,3
10288 18983 24992 70232 90357 98946,22
9287 59722 90382 98815,9
434 31455 59294 90950 92218,1
15975 18400 31859 32288 91461 96605,7
9628 21750 95765 96358,2
30394 42688 63363 90864 91967,2
37774 58829 66826 91348 98466,2
17537 47560 50086 74174 98578 98933,2
42654 45904 46048 78137 95676 97288,2
49588 70990 90774 91569,1
23898 62979 72935 81930 93064 98714,1
12255 39525 46572 89817 95277,3
482 15798 75964 86373 93659 95129,4
1259 16068 21898 77222 94134 98956,5
3291 31700 92636 97699,1
22334 25730 92932 98390,1
29950 55217 61816 79501 95388 98973,2
8293 15094 31157 67307 90102 92559,13
21865 26637 92634 92691,1
41202 90797 95919,1
43604 45926 94630 99024,2
21987 89272 90497 97789,9
3109 20544 25540 46209 89991 92464,3
31593 50622 66102 76934 94135 96789,1
5617 11250 52814 88583 89488 98186,7
39816 69080 87194 95400 95968,2
24619 56204 90471 96972,1
43427 54695 91190 94412,2
29844 33315 47651 63862 89846 90302,2
9133 90713 96680,12
29981 37824 82344 82958 90813 96944,2
19335 39191 61248 65586 90182 91361,3
10087 62543 94057 95270,2
4201 26173 97191 97408,2
18237 29985 57610 84684 92862 98105,8
71664 98253 99035,1
14018 38937 94123 96142,4
9342 11553 25485 27556 91917 98409,6
6806 8749 31874 48722 90475 93782,9
15278 47873 50065 90808 97700,8
15284 89490 92592,6
31921 72841 96779 97573,1
813 10036 33994 95610 97349,1
18866 37674 58709 86987 95233 98146,1
7100 46547 66110 76362 93093 97490,2
34144 42448 76946 90969 97577,1
35145 44652 68268 96348 97137,4
59866 64026 65045 65397 92141 93106,1
31315 34573 49764 90998 91961,7
9396 64280 69584 92387 94421,1
72742 78312 92451 97940,2
44691 48233 90394 90924,1
17479 53404 73979 83561 92387 98829,9
22617 52332 97443 98817,1
296 62869 90181 98308,23
19963 33941 42124 94989 96430,1
5034 7887 15239 49492 89479 96523,12
9109 36868 36973 83966 89857 98088,8
9272 15737 36745 94128 98697,3
31158 35225 45537 92360 93866,8
36856 72727 92114 95108,2
24739 33060 86908 88280 92493 96461,2
13618 23006 40872 78608 90981 91520,2
22567 41157 93292 99001,2
12130 49318 57447 76011 90531 99322,1
2774 40583 66050 75018 90012 94011,12
8134 49055 59021 93051 96605,1
4406 6066 23686 71961 96430 97881,32
