54341 6400,14131
1671 1849 274,54965
198 4639,94434
1036 7052,48419
183 18596,14087
269 288,25822
55 5682,305230
7582 9059,16475
8606 8730,448
3262 624 6400,233311
1063 84103,6652
2 412 465,1796577
2752 2753,10462
2279 539,29964
20208 55,305224
2 5058,1793863
27612 4997,1942
1259 20815,15372
10176 268,114166
1741 2797,3395
4945 812,7897
3537 3855,9293
12563 268,114271
4738 606 7450,76648
32562 4738 7582,57015
1036 33200,48249
1144 33 48 5392,280527
5854 624,221554
1838 2006 624,223128
11216 268,114112
11733 268,114910
1260 820,58104
1107 2450 268 624,304278
1109 4081 5187,21799
1926 2,1793746
121 198,225566
225 3457,26137
110 3801 419,82405
1459 419 56618,31298
1527 5885,5486
139 160,94059
1260 494,55125
1171 624,224523
47552 5392,6902
1547 48,127742
3036 4881 807,17314
2450 288,56229
40 546,156172
71 7786,130573
10108 16719,749
1144 58783,55225
18596 27666,1942
1134 991,19494
30601 34388 872,19262
244 5049,162023
103 132,116358
1376 247 68,268880
1589 807,30708
1144 4738 70402,70658
10557 624,221001
208 2644,21438
529 624 8552,229074
3164 7,1132444
1036 1195 1547 4732,64393
185 353 4753,59692
2293 4489 449,32528
121 2694,142821
2104 239,36382
284 2916,180246
3515 39730,80631
3271 4489,16002
202 71,142127
283 48,135788
198 27800,88244
1298 4738,82837
274 49,165497
1445 57,98543
1210 279 29,200332
2 989,1794961
12402 4364 4738,77803
1766 284 5465,212318
2 8832,1793746
226 268 624,306080
419 85208,24577
605 967,8875
16536 33,148549
5791 6816,591
238 624,245769
1132 2 277,1793746
268 2789 33,256164
4248 624,222042
11184 92,105160
2126 284,180061
110 1459 56517,78910
1865 268 4248 624,301988
12624 268,114460
3663 4386,5622
1446 68,232449
16146 269,11250
45526 47265,62
19006 7643,1411
2450 632 9111,47375
198 527,103880
24697 3424 688,15255
121 3093,142035
1144 4738 49 5652,182491
268 624 736,310083
3590 968 9916,27801
284 70314,179274
213 807,34458
2005 624,221953
1183 268 26860,117045
10880 2682,8830
11840 624,221079
1036 5821,49647
160 40529,64240
4477 55,306976
33 4738 7582,185321
3592 8552,2006
284 541 55,426865
185 1926,47026
47121 55,305057
284 538 7950,218582
1036 289 290,68391
1128 9771,1823
1036 23797 48,165887
284 3515 6520,222679
1036 4738 48,214657
13009 4364,26813
4389 624 9271,221381
1036 13981,48554
2552 4364 49266,27718
1584 198 2 2246,1831008
17152 5002,2655
2215 4775 4918,7860
1695 268,114368
1036 4886 5130 955,58687
244 2718,162091
282 393,37438
1585 6684,16316
2104 88567,22089
11490 15503,733
2618 326,31254
1109 3515 5187 66269,97197
11811 624,220907
1109 1598 5225,62287
1376 4881,3571
1134 268,119841
3515 5182,81157
55 75,444334
2450 4248,43379
121 160 3358,189442
33 393,170095
1132 12089,14722
13432 1984,8045
196 2695,51677
268 6400,127601
1953 284,180090
1144 33 992,179737
16666 55,305103
2718 40739,2462
284 5195,179956
5465 624,222043
2430 2450,42314
5465 624 6520,224734
244 678,169455
1585 284 50584,192663
1979 284 55,423359
149 284 55,428569
330 527,22191
1195 326,34828
198 244 527,261037
2036 3424 48 8113,136691
247 284,213269
1298 2331 459,68047
332 668,17337
10997 686,6629
214 3457 5455,16126
1584 4013,20781
525 968,22598
2 244,1793746
47552 63932,5138
1036 17002 630,52212
3515 6492,80826
4738 80372,53888
284 3374 748,186993
25233 49,128870
1585 624,224357
193 290 968,41936
10908 1144,55299
4478 4900,4474
3515 533 538,93683
2740 2969 807,19176
290 296 331,28228
2 4543,1794389
3515 4125,81085
6169 624,221580
20363 55,305139
1210 2450 624 764,242915
208 75,194510
1567 3650,1460
1568 15687 28104,2069
2104 7959,22299
1598 268 8407,156171
1109 5187,21331
198 2108 7,1176034
150 2450 9111 9789,67682
2 606,1799711
11395 1260,48835
110 56747,75283
15329 284 3515,220096
2 3964,1793935
1561 284,179708
130 58,197844
2099 682,14122
213 528 624,238575
28888 3515 538,86105
24406 538,79303
55 68312,305054
11079 624,221394
10038 282 527,32688
2797 326 4364,51689
32814 3515,80644
1109 1375,28483
1476 7206,394
459 46,184468
2295 55,306367
244 6400,172078
1072 139,35712
16168 290 8114,19817
2439 268,115260
1698 198,93337
2 29,1793746
1036 21399 4032,48881
1109 624,239015
160 1935 247 3755,101574
11724 22174 283,13851
272 5311 807,24761
121 4926,142811
1036 12237 4581,50896
17628 2450 9111,42243
12057 284 538,218704
139 1459 160,113873
1336 66794,3439
16562 29,158782
30601 78682 872,19210
1766 32269 624,222935
1598 196 232,99943
47974 538,79292
1132 75,188759
11555 4783 624,221472
121 2544,141475
196 5040,52270
213 7873,23852
25028 57,96453
58070 606 624,242060
5465 78,106318
692 896,29852
1584 465 58,211093
200 2450,54716
161 1766 2450 624,232976
244 2682,166151
198 601,105342
2999 569,10763
196 2100,57901
110 419 56801,82195
18942 2547 257,13174
110 1109 1459,78910
110 27351,75325
30601 68958 872,19199
110 419 899,87369
20130 8113,7068
2815 4639,26032
1584 697,32844
15360 244,159951
2420 268,116129
11079 1598 624,243289
4366 5885,3106
189 9,1163300
139 15177,34934
12938 2523 353 469,22885
1598 764,53984
1063 1144 33,181643
1349 247,42761
4377 5465 78,110329
196 326 51,248306
23960 55,305057
68 97,311129
1589 55,319695
11555 968 9816,19626
23394 597,3701
2815 8504,24894
19548 2,1793756
3515 4702 538,87161
1598 624,242930
33628 59905,122
4623 820,10616
11651 4364,26909
1298 31269 48,150671
3570 90,93443
35345 46 820,158672
27667 282,14439
1036 2705,48404
268 7824,114453
284 3696 4732 539,215302
1726 393,28992
606 99,114139
1337 511,9396
1926 3663 51,193091
2 2815 2947,1793746
3016 30602 44823 872,22113
1547 546,39581
18134 268,114142
121 3499,141244
1260 1298 3445 3697,88024
40 428,130877
3204 57,99100
245 68,286063
1210 2176,22568
428 8 9,1788410
121 1351,142153
16316 185,39426
1585 1598,55385
4753 5565,11033
11122 17661 55,305096
284 8928,179371
2736 624,224248
1036 2969 4732,50749
4266 692,29442
419 56554 75,192158
247 3857 4145,44782
185 1926 3792 636,51158
160 247 989,100389
30601 30602 4521,14279
284 5271,179422
12554 55,305042
1766 244,176334
2463 55,308092
17977 4738,53960
116 2036 3424,34320
1260 202,62091
1195 2853,13656
110 1459,78910
1299 332,9936
121 1331,142329
284 3039,180721
12671 624,220964
288 5190 624,235934
116 79594,22475
283 3412,15479
1132 7859,14790
2 23778 33 4489,1832962
1849 4738,55661
103 279,95733
48097 512 55,313680
15334 2609 6169 624,222964
1298 18977 55,332349
4738 7582,57008
244 3404,160509
284 538,218443
1520 39177,3124
1144 4738 8854,70842
1109 11101 268,134574
24284 268 290 84,429111
51 624,391035
121 14494,140946
284 624,391198
1132 1374,17515
1144 43126,55227
1820 3631,4512
1437 4032,1849
624 8553,221870
225 7786,25186
11887 55,305493
257 28545,11867
18826 268 293,126558
2278 2460 284 3515,241366
1109 2536 393 7,1153086
1036 20255 5182,48829
1109 1598 1984 681,75736
10557 25279,211
244 5040,161428
1853 5436,10441
3412 624,221856
1122 42186,2137
1324 40 721,137974
110 56745,75284
236 238,38947
1984 2378 3845 48,131790
21377 24367 48,122978
1584 2 2815,1797770
1210 1585 1985 84,345274
1259 4870,15710
215 58,186738
1598 2077 5465 624,245957
196 238 55,336670
3906 8084,1262
1373 30601 30602,14726
1298 5392,37762
1656 326 624,239470
1038 55,309304
3515 6529,81211
1299 25357,1951
11733 288,15624
12078 15334 624 764,229092
1038 1298 2450 624,260387
1109 1585 22803 3285,36261
1127 2312 449,19215
1230 33 4489 54378,160966
30601 81148,13111
1589 2450 624,232991
3204 4738,56550
3569 3574,891
121 1210,140925
1260 2 606,1799711
247 9225,40527
1598 50,194700
213 267,31964
2460 624,238893
1259 2,1793746
2278 558,8595
1144 33 4364 4738,212434
198 3515 538 58,343850
12100 3039 8737,2050
51 624 8565,391396
5465 624 86790,222044
34288 624,220846
1349 2655,2951
11612 11613,417
1585 50860 624,224359
2058 24002,2583
18866 33 7582,159847
