122 244,409
1144 1298 23778 4489,532
1134 145,6
2687 71,319
9403 9916,270
2609 268 3286,186
33 7582,4582
353 48 900,9
1144 239 4364,37
10207 55 8957,127
288 3777,31
2 9435,45
288 30219,43
268 4377 624,200
5465 624 66 78,53
6456 773,72
160 2771 685,5
1144 1598 33 4870,6
2274 624,510
17105 246 624,15
268 274,11612
121 4142,20
2618 624,3426
55 6400,655
2815 284 624,25
1598 764,6814
2 596,86
1801 621,5
2267 288,6
122 1849,41
1036 83750,13
283 3515 538,18
284 326 6811,146
33 4738 7582,3259
110 582,9770
1620 4080,14
1036 2136,5
1036 2116 2690,5
1044 304,47
18 855,102
122 571,484
132 2853,54
2036 3424,4563
121 1298 198,130
1598 947,1102
11555 1585 1598 5028,16
1589 244,1503
624 84,1979
160 1625,138
208 900,34
198 539,171
132 55,23006
1167 160,77
124 29,49
11168 5465 624,142
1116 122,14
239 624,2530
2258 3191,174
2453 477,265
624 9778,169
1210 225,96
284 29 3515 538,67
214 6921,23
1589 4898,66
11079 1210 268 624,182
2 584,1351
4885 538,12
284 3515 538 9819,23
5627 84,5
1109 1585 624,562
2104 3362,5
1375 419 56803,8
15239 33 4738,15
678 9271,54
5114 5115,629
196 55 559,75
639 99,9
1766 2450,5521
1598 2077 624,1072
1260 683,62
15695 196 55,7
55 6428,161
18 66 683,11
1197 284,1060
1144 268 4738 48,250
1195 268,4301
1242 1685,499
196 55 90,257
1036 1298 8957,37
196 2258 55,49
27346 3663 9,8
1106 18,19
1298 3424,104
10356 624,6
2 465,2295
3697 4755,5136
198 71,624
23778 4489,3134
2687 85,6
33 4738 48,774
230 2817,81
353 538,26
110 1459 56782,226
55 9846,104
1585 215,71
2433 2593 624,2702
284 8633,19
103 18,74
1132 353 55,49
539 574,207
213 326 624,48
2739 284 3515,12
33 40,175
3100 624,687
11527 624,785
1726 18,242
11079 1598,3090
23778 28930 48 78,34
11178 1144 4738,16
1298 145,718
1799 1801,28
121 2715,738
244 8240,26
2 2278 284,38
12563 55,17
4623 820,341
1210 2449,458
122 55,765
1336 284 4427,9
1585 1766,490
160 4240 5001,98
11528 9819,7
1596 18596 3515 54701,5
1373 2,350
1036 4732 5531,7
122 58377,5
121 539,841
122 238,82
110 1459 419,12154
284 449 538,43
624 71 9183,17
1018 624,95
5501 78,6
3845 4738 7582,13
1585 678,185
160 1992,36
624 8898,14694
4716 55,439
2 2453,547
1210 2433 2593 268,2306
1656 6520,37
110 419 56726,27
35033 624,7
27666 284,106
1298 33 9932,8
11555 8649,6
1036 105 4732,46
284 449,326
3515 90,49
1598 55,7170
2262 7,7
221 5049,15
2752 624,50
5202 564,5
2005 624 78,249
1230 1849 4738,83
2609 3285,1774
124 268 84998,7
184 688,5
2 4535,6
538 5734,6
3492 4939,6
284 3515 9101,5
33 7962,226
11237 4273 955,1853
235 283,34
2258 268 5049,26
393 624,1162
114 268,61
284 8729,12
1585 244 3285,19
196 4646,30
1585 3412 55,12
132 1589,127
1036 23455 5130 955,9
1038 5465,113
1766 268 9811,404
2753 55,1665
1766 268,4368
4755 90,78
268 3590 7873,3165
268 55,2372
1210 274,91
1195 3041 807,458
365 4639,13
284 3515 8551,9
2 33,742
10338 268 55,42
121 624,935
2 2740,174
213 7581,410
1683 244,43
5080 78,13
122 160,266
121 160,16458
198 546,196
1585 244,2179
110 6348,410
501 71,37
4374 4738,81
244 4051,26
284 624 681,29
2 2022,42
624 9819,1328
198 3041 807,5773
239 538,132
10486 55,60
1260 1394,18
274 326,154
1766 268 624,4198
1144 11718,9
185 84473,19
1036 5465 624 78,56
1819 55,105
247 284,5231
150 5465 624,548
11079 37897,33
10518 9155,337
11098 2450,7
1298 2789,336
71 75,908
160 3021,44
277 546,64
198 4977,18
1766 624 78,1722
17418 477,7
1210 268 955,2338
569 676,5
110 1459,16102
1598 196,449
238 284 624,67
1132 527,46
268 3590,10072
13494 55,8
1266 2460,15
18 2019,41
268 282,483
1036 194,478
1036 5094,297
180 2783 30356 624,5
5049 6400,10
