query,cardinality
80987 278728 426545 455474 455986,1
51681 451226 451435,4
14207 381252 390906 448188 450596,5
37452 82518 113902 124875 450679 451742,2
16560 307001 452183 455386,7
3822 6978 278915 449790 455788,13
109136 162913 307500 447696 452183,1
2306 312173 342685 453641 455707,18
24082 207745 259655 268628 454390 455302,1
3196 173361 201591 400932 452121 452854,7
1109 122315 179225 444923 451049 453051,6
173 142058 310207 362393 452487 456678,529
13944 162049 249993 424534 451512 454947,2
19445 144760 449156 456184,2
140173 153136 224964 451345 454711,1
10353 82192 323563 410442 451604 454585,25
4000 375563 448711 451667,320
116476 342065 448974 450470,1
159499 170939 228549 284399 453098 454665,1
58332 84556 166882 320622 455691 457200,1
40209 259524 351318 447768 453031,1
41112 81003 109821 424162 451039 452949,1
6580 69140 129467 174903 451210 452966,4
14512 39302 450206 454747,1
19644 380163 424039 434571 449915 455538,56
6381 107263 265803 387862 449143 456744,5
10712 93442 161475 229138 450695 453986,17
8640 254336 257946 449043 449507,1
59157 150689 448369 452723,1
260659 387215 453776 454254,1
6165 448408 456256,31
293790 410745 449701 450055,1
166017 194072 385126 386640 448156 448625,1
128482 158603 237393 448653 449625,1
2560 70241 264604 386548 448714 457432,34
172178 228132 361540 425866 449794 450009,1
6562 31408 135231 281156 454000 457571,13
5156 20677 77800 252789 451504 453444,4
150286 335472 452417 456470,1
8989 62353 87007 450349 451069,2
179098 305514 451755 455661,1
171474 330653 353829 367477 449069 451058,1
85198 127863 293208 396641 452232 452550,1
9127 69771 324759 443721 449971 451028,4
33838 39680 92709 312839 450252 452043,4
16118 43666 233714 302513 451952 452259,1
8672 15752 324360 455366 457534,2
194805 242649 449960 454011,1
22395 35457 453892 454690,1
19439 360352 447622 448814,3
27196 113266 405349 449358 453737,1
13120 44431 340494 454997 456059,1
269512 289018 448901 449607,1
55428 108552 252449 367924 449578 452107,1
39015 99459 244232 448810 454333,1
113259 280187 451583 451952,1
14227 381981 448454 451724,1
99505 123506 233808 386172 449015 455945,1
172259 215601 283198 450307 456102,1
12136 340982 452172 456249,1
55971 295246 438943 451250 454047,7
1675 11943 439638 451951 454341,9
12956 29157 73215 133057 448939 453913,1
8821 202106 393606 452017 457433,3
102561 183974 250622 449736 452172,1
111017 118591 283313 453671 455507,1
7921 60229 136776 226465 450198 457307,2
35263 90920 342541 446568 453034 455285,1
91 116224 313821 421450 447956 457148,111
6255 449729 451514,6
80046 254118 398324 425302 455667 455899,1
6416 248853 454552 456991,1
1011 173855 243052 394581 448054 455734,27
191371 266996 380230 449981 451138,1
31085 242990 345146 430163 448377 451967,8
1194 12065 450261 457066,4
4454 25166 72091 335837 451853 456451,2
36578 94891 195264 314633 451345 452330,2
24102 197146 241288 451662 453488,2
2443 383193 392979 453282 453688,74
15786 334684 456200 456216,27
41925 175808 449081 449323,1
40483 156356 207722 354868 453317 454141,1
30560 448022 454800,1
28349 277072 355759 370506 450413 453518,1
21497 37187 395573 436833 454107 455439,1
45934 84358 277033 451491 454615,1
124718 383495 413969 450769 456941,1
4135 39981 144573 332180 450436 455627,2
18963 71449 449625 454702,1
199879 293178 323496 451958 455873,1
636 131216 175635 287841 455169 455569,348
3697 299967 451611 452165,74
27426 60278 84604 153178 454729 457095,1
54576 73992 112118 342934 455263 457060,1
44748 46362 267107 456823 457358,2
29856 108043 450767 454930,2
29956 263074 263513 324079 452308 453016,1
3941 116692 160872 245885 452127 456185,3
159882 198220 312805 328292 448886 453303,1
