166 262,1045698
220 8054,396901
11170 127296,5480
16910 5 616,15673554
142 973,563568
10771 2485,59507
13902 1643,41100
79 80,4501895
1001 4126 43269 6979,110864
418 80,2476168
4180 605,158792
2210 4511 8407,79840
2137 2330,42875
1035 1763 587,339259
1209 179 220 417,1329202
206 2980 458 808,906731
457 5882 603,408894
195 2012 400 4381,580329
48 5945,2316598
1059 6655,106323
5857 629 8761,271671
15169 617,180050
1722 24017 4798,139713
102 4319 5442,781123
362 6964 737,346804
126 6362 7626,888294
1098 3058,56965
10080 66,2551472
109 8848,1284210
1681 18226 44,2738412
417 484,671888
103 1056,784913
0 4160 9442,14996524
2208 229 3657 9533,265075
20741 2317,37660
125 8943,442864
360 599,835051
2751 466 9747,283033
484 8645,200296
181 3219,1024572
1322 473,450358
2005 2252,68107
44 599,3249021
21297 5224,12696
1345 333 438 47,3561650
126 1384 32 415,3880646
109 1292,1306279
1230 713,137345
1935 44,2709967
2817 3268 4385,44809
1496 207 69,2971085
2069 247 5341,440043
16 2384 8691,4832859
166917 6598,18881
1121 2168 3807,147206
1180 126 33719,867178
12421 179 9584,488720
3079 4177 9258,23156
0 18 3481 4368,16025405
3022 3883,112747
0 10267 2296,14999658
1533 2797 35757 5272,35461
12272 13403,14977
3707 7038,49013
3961 973,141091
0 119,15105750
115 1203,681116
13913 2550,59023
27 6266,3019240
3601 522880 9,14664354
2048 3374 4643,30525
1056 231,564327
1173 5313,69620
109 2186 55 778,3408940
16627 4823,10965
9006 9007,5436
29027 599 666,882018
381 975,557867
1492 67,2361797
16121 599 61,2753503
2040 232 320 49985,554880
1754 1766 26205 347,308958
227707 792,106221
18 331,4978539
1065 1173,350730
560 66,2749937
173 68,2714597
100 1065 466,1075984
20122 262 304 911,787814
294604 3555,14656
1198 2607 28,3328629
1159 522,311644
1384 2003,194554
30824 726,218380
126 1668 173 975,1665020
10435 691,245727
1759 5570 6162,30482
1312 882 911,375648
1080 3480 74,1795337
1760 220,446069
1845 517,342645
410420 4159,30265
128 826,461479
1080 994 996,313469
20719 2837,12766
151 154964 207 726,1044339
177 3285 60 916,3571949
1011 13392 65,2349076
100 4711 81,3251434
44 466 68 69,6612776
10562 128,378050
2159 298247 3433,31911
18 532 68,6579802
1228 1531 8074,227038
13636 14804 262 350912,358360
4167 5234 5534,72168
2767 473 524,622011
1747 7500,33823
1019 56 7812,2282126
181 2431,1001475
2816 412690 6359,31538
1826 2443 46 8756,2444677
183 2226 6889,335271
16 18975 4459 514,4836982
241 69,2733011
109 9365,1287263
327 3284 981,499290
1158 295 85,3334467
65 68,4353425
1476 3631 5289,60034
100 475 813,843876
1120 2078 591,423416
178727 3550 6598 69972,37113
2186 5702,126356
2879 83,2240083
1692 5797,134738
335 426,767160
255 4853,314113
137260 165 183 3614,785312
5 9094,15638962
269126 501,136371
743 983,340210
109 1919 574,1525430
439711 8731 879,155131
1197 5214 678,197095
22317 238 295 47,3617289
2060 231,525489
3135 819,190384
1583 2182,96869
41961 7908,7072
2836 428,278858
2596 5705 850,252329
150 23272,254065
381 8104,278917
1835 4061 778 907,327596
143 17667 64 7265,2932112
165 36235 508 85,3265290
102 166 181 1821,2397433
403 4911,421123
60 8991,3066938
1026 2839 284,515552
118560 457 489960 756,373353
3739 5,15641408
1755 425 868,443858
1301 2430 496 693,542642
2862 9338,30620
1425 5054 5170,49650
2007 876 97616,225266
1583 1684 465 60,3302187
2525 539022,24667
18 2504,4710634
1000 10100 179091 2237,124533
18881 1919 23 3078,3579077
1087 2649 68,2364565
1083 1476 1638 3899,166017
30808 5800 787 9115,228279
1046 35586,98622
197 484,718352
1489 1766 2023 44,2822795
120309 126 658,950826
1356 5412,93743
2093 4663,42119
359 569,376622
1583 458,337159
1691 2323 313570 781,242676
31227 3510 56 87023,2228520
103 234 4263,994982
1754 2023 228 44,3032207
109 11571,1298880
12256 31413,9661
16934 3684 98842,46825
18 466,4856222
15716 16032 6897,7149
166 4761,730117
1107 841,365190
2732 4864,36244
5453 598,180345
1549 17500,68486
4000 458,294470
211066 3321,23188
403 6056,409096
15218 5113 662,176174
12082 1603,58424
16 17 403 629,8454159
180037 382,299899
10772 3157 6252 8768,21293
22285 23914 7715 7807,110906
1379 27 3595 647,3167429
1149 203 629,617631
100 2530,605898
17853 942,104645
1225 177564 886,260725
1062 69,2490314
1089 2322 2949 466,334533
10590 10805 17 693,4698233
176724 4256 4415 9861,91458
2277 2786 591 6590,397200
11866 1812 522 867,448544
37470 57784 641 666,408947
1038 327,356330
151858 458,269783
2024 2943 4389,59829
3514 885 9318,166999
26539 4216 443 80,2565039
19873 83001,1961
15914 2767 295,586549
2564 55253 69,2458810
34961 5555 9406,20601
146 150820 2412 945,442795
205 425 473,1020757
1107 200,496307
544 5726 808,348611
13022 348,471034
10292 29986 3167 445,117670
26833 79588,1357
1348 664 92,2181877
15742 158358 66,2550801
17747 46 514,2576854
184 345,828393
35946 629 6477,256054
8549 8550,8962
196 886,425977
348 644,798463
2094 44,2745197
2804 46,2411407
17 395,4618763
14295 2306 3080 609,270993
11863 2406 822 91816,229791
14445 156 20276 220,697519
2559 6074 629,285975
36391 870,180067
1350 2085,100984
11705 4 434224,15736457
238747 417,481202
22806 2814 4391 61440,37545
11134 1603 5480,58100
3219 4523,52108
1273 3509,82317
121400 23460 3485,23133
1107 2064,266074
1345 5380 722,347464
18 218 258 403,5171224
2384 454737,212395
2205 333 348 4511,1036647
3861 599,629808
2899 586,229617
2550 922,392723
102 10359 18,5269863
1982 413339,24509
2928 4203 62824,53602
181 6585,1009701
11505 135 166,1164050
2922 68,2343142
1935 269 5182 6173,394795
4036 726,224334
1241 12780 3289 543498,105964
2736 64 6468 7616,2408120
426 666,690718
129 144 2383 287,791620
19243 2089 275 599,926622
10488 1648 4 43214,15735974
1351 16992 27877 87813,57236
115 3054 62,3023938
1814 228 417 743,1033625
115 197 4071 975,1436088
26811 5387 5492 66,2565304
181 2830 349,1204828
14943 444 8547 947,419224
2005 3881 409,432312
1620 2954 6382 970,170232
109539 348412 444 7532,180356
1869 2557,46016
348 359,731802
2710 6865,106323
1345 1561 382 781,699644
1570 197 2323,631185
295 54,2445001
5967 853,101030
12718 6797 8854,12160
141 6770,329358
11434 4204,8111
1814 61,2283434
466 6924 7607,255741
20114 2607 3801,41848
415 575,462805
11378 2565 310,456926
42596 5898,23231
102 1583,821720
1163 179 458 58,2898314
13971 4962 6303,48049
143 680 86,2590180
1845 352 693,745682
788 8040,163678
10438 128198 325,252953
325 335412 6195,256359
3883 405 458,500906
557 8938,196319
1186 1760 5 7700,15663763
1943 417,599365
80 8571,2342774
1349 2862 79,2632621
2337 55,2032059
145 1835 8099 915,551214
429 8124,252780
2897 50423 666,309472
71 72,3666090
103 11100 15234 763,959639
13291 177 5105,408290
1548 284,543329
13133 231 3013,512610
9 9714,14660223
1224 60,3086577
142 2956,444928
215905 22676,1472
181 2384 24845 701,1297649
126 15910 3526,961553
3676 459,258596
144 1915,377229
1501 586,228510
3054 426 48,2714183
140 4415 5818 744,514642
15056 1570 181 570,1212081
1159 15010,73682
1090 24830 348,621557
17930 403 7823,405549
7652 90440 9189 996,187095
1185 1371 7 770,14930414
101 1387 1835 7032,473679
1356 8991,85976
141 173 965,956704
18 7164,4696416
1531 61,2360167
206 2064 21581 34718,449298
121671 1722 5886,109657
155654 6545,8560
18436 3920 603,211970
1856 743,241375
10389 13812 22961 6293,12514
3890 48587,7974
460 560 958,535341
1071 275 426,750925
1338 181 373 37630,1348186
2686 319 5862,366820
4091 4125,80795
37111 5702,73782
1821 56727 915,170607
10356 2382 334 6046,145320
11063 1544 1631,70663
18 2453,4713971
258 5230,327309
15945 16316 5840 599,632292
12183 178025 316 452,595820
