69 770 946,7
2667 844,8
1079 11 4699 883,7
12992 5344,35
174 382,313
335 921,1371
327 331 438,103
1592 555176,15
57 590,29
1672 306,120
599 67 967,68
405 426,2225
27578 5,38
1801 415,470
403 557,332
231251 67,13
28811 64 8297,31
1829 616,13
284 697,95
128 440,735
1499 2229,18
1508 4831,58
12579 1798,329
126 192013,13
1668 5558,99
12001 2877 4385,20
1548 3534 673,54
310 80,4377
15806 23690 26539,2971
18452 4588,16
1398 42,1135
1039 284,1379
333 4537 8124,93
1601 321 6952,6
5934 855,222
335 462,1657
197 269,960
1525 408,35
181 7278,199
220 5422,60
3510 353,7
178 1862,18
1053 6500,1793
1684 316 351,481
102 7643,62
3141 562,167
2045 2366,6
3240 8352,71
10801 12471 1856,6
1037 2736 7807,106
100 2834,36
136046 3088,12
23 269,690
1319 324,163
2223 6900 794,13
12256 6359,12
4159 4311 5266 586,24
14757 458,97
107 532 599,6
320 67,5551
0 119 206,32
1439 3131,9311
5957 6037,14
10937 771,752
1604 1668 66,29
2736 284 50801 8306,130
1864 2599,41
109 3289,219
17666 282,1348
142 832,375
1620 176,47
258 726,2549
3895 85,497
1312 207,1673
37924 5577,235
1241 381,135
1751 680,125
102 1075,1345
58 599 709,96
1628 295 377,62
1140 24039 27620,13
1439 3400 8218,61
1784 4607 5292,8
101 195 2377,66
18 5841,1625
5399 7029,92
1080 3439,41
1697 3526,2074
1784 310 415,11
2007 335,99
2323 811,131
2223 4517,206
1540 16,259
10089 97635,70
205 233536 26333,12
37526 5051,20
1187 349,373
2151 473,114
126 1807,524
115 1568 5,8
1765 417 426,24
1099 5951 68,17
1059 3714,2628
1000 811,478
438 977,16
109 142,7256
1782 2488,14
2336 944,15
333 335 8947,6
1060 69,663
2564 407,33
207 516,1276
1657 7931,649
1061 310 42 975,6
1251 2537,75
179 3919 922,9
1576 2759,20
284 783,19
173 2139,219
1399 9553,130
1197 2615 3429 8806,25
115 1640 85,96
1093 715,148
115 146 399,46
22930 2760,11
11848 18,163
494 969,64
335 947,1971
18 258,13322
109 403,23854
218 258,1975
2434 3601 5344,23
18 850,3722
1046 844,125
2289 644,298
1384 1561,1896
1384 179 870,25
181 88014,6
16520 18452,12788
1079 599,648
16 85,16336
109 1570 310,16
1614 615 788,21559
1889 947,277
207 4462,30
1090 36450 46 644,50
1259 60,1101
1197 17888 2733 9486,107
183 2277 36531,52
2151 36250,29
42 690,706
2 85,7680
12009 2893,40
1065 128 237,10
17 672,2881
109 674,2068
258 975,598
1640 284 3054,6
2001 247,72
26 3166,57
5797 5798,19920
3172 69,292
2383 339,354
475 947,167
16 46,4178
27300 34838,6
331 4901,399
102 115 457,39
10146 811,7
295 299,1328
102 46,4240
109 55,2893
109 1606 32,278
333 417,12197
4 8895,16
12341 6160,191
1531 85,14659
1668 207,1464
1345 5,6173
1371 2148,34
415 6502,18
69 844,1212
1612 4598,78
7837 921,16
109 295,23787
333 79,6499
12711 46,40
1179 473 5,8
417 44334,34
309 983,346
115 295,5525
13754 4310,401
1479 1480,531
245 7918,11
17289 269,78
16310 5021,5
205 622,60
1480 325,415
550 6579 965,9
181 3075,572
13040 2355,7
405 417,1387
511 644,79911
16310 2161 64,2531
1943 744,535
2262 5082,61
3374 444,37
166 560 599,187
4381 8939,15
10395 831,37
18 47,3242
1573 5,782
4962 6160 7181,39
3482 79,468
18 8527,103
1697 457 7807,617
1060 5798 5800 644,2049
1829 4216,17299
18 331,17231
400 4465,37
1787 2184 3382 465,6
1384 339,760
1430 50,345
426 479,604
126 159,727
197 2263,259
373 591 8666,5
231 60,7028
174 6585,89
3223 66,460
48 79914,83
1224 68,162
1149 12162,23
1118 18 2836,14
2369 270 3532 997,14
102 135,713
4116 4355,7
118 2892,7
17 42,6727
143 916,313
1439 1697 5344,575
5 85,19969
1814 812,334
1662 732,35
6303 9975,7992
109 137 197,10
1727 2771 599,6
2384 353,1036
26630 417,17
2205 6245,12
1315 335,838
1889 49,43
11909 841,41
612 693,1346
143 295,8071
197 436 69,131
16 179,4340
207 6172,189
1847 28063,10
3054 48,474
1799 657,120
50560 658 82955,13
2491 423 591 644,42
657 965,474
1001 4960,50
1989 8846,5
1184 8,15
103 166 58,125
1692 18 79,85
10219 92,26
599 68,8317
284 5120 68,5
2207 3252,73
18932 6915,5
207 591,1953
109 258 756,638
2233 680 84,8
1149 69,681
1225 18177,38
377 7672,6
332 50 501,23
192 417,631
21377 2584,30
11496 1973,11
377 444,302
74 944,89
181 3333,255
1760 409 60,45
1104 64,709
622 886,25
20617 26584,27
295 44,18084
2028 51191 514,7
126 23872,623
1349 207 60,16
20613 7730,5
33 3735,22
1283 174,6243
1001 409 560,5
1528 179 18,24
1135 511,32
42942 69,10
0 17 36304,10
2139 84,102
12430 165 45,15
269 306,57
1060 262 882,217
1089 109 68,74
13034 2390,192
241 2699,14
1942 574,5
1056 234,5370
3199 48,125
17 18 1916,39
23060 282,4117
10089 325879 95955,35
1225 18 2982,70
18 740,1342
107056 7683,6
1039 181 185,8
1050 1766,677
2182 29850,8
2259 876,1671
2770 728,176
5974 609,155
42 458,4745
2368 90,92
1620 3064,52
1982 691 79,11
1920 7500,47
1594 165,120
181 7992,147
2333 674,33
3327 5492,12
192 558,75
103 1259,1959
143 1920,344
3283 335,295
1588 209,35
335 7063,151
1384 850,1091
18376 870,32
1046 205,584
463 672,582
14344 780,6
13063 3639,12
102 743 85,773
1919 3374,258
1892 55,502
3079 415,53
1099 348312 7230,5
2546 66,2470
