3774 14469 95777 258635 448770 498983 499184 571644,117
14154 18504 262664 336632 364668 388745 461647 764064,212
42349 112362 513575 684781 690599 765534,21
18883 283975 345538 509273 615563,72
85945 153867 164324 206402 462022 730051,12
11406 238691 335576 383909 474509 487702 614492 695430 722447,3448
91002 253378 304346 356313 409924 511154 582309 703255 707217,21
62307 146122 178407 227680 425649,52
110416 195653 223647 417620 428727 475213 576593 686176,69
77648 132444 171968 181262 303457 312481 334852 449379 632760 638370,104
214263 247372 272043 423141 486654 523300 544341 623986 707727,32
65984 249990 265866 416383 724005,92
22633 118061 443470 465166 572123,34
97976 165656 190903 345504 544748 761758,67
8207 10405 252236 308094 406976 467573 488857 540926 582558,6405
58238 243833 243884 332182 457609 503326 580508 588299,35
67011 112316 308894 352357 537876 594902,35
99793 119918 182299 250743 619790,25
59293 185838 284720 320842 372714 418880 588018 694594 717095,85
157235 307410 371570 422531 432009 578343 667030 762817,41
40376 221245 341180 476814 646934 648411,21
191777 294925 451228 471148 578146 718797 737529,102
12769 342592 377005 493567 627774,141
9432 38343 103207 176690 393163 503693 629899,1166
51109 69891 167654 198722 243919 265231 369587 514329 591502,138
39134 265797 354209 387772 493273 494876 557123 560978 651937 735941,87
77254 286859 288894 302696 332498 408897 807976,23
12875 166486 231032 264688 274957 742233,35
68493 68903 313932 359235 391002 571668 625994 644858 723387 752434,71
115641 180898 187549 215477 279593 295652 422089 508414,43
70826 324374 508011 611776 650571,36
58497 354301 424918 459348 543229 562961,142
64803 72685 81168 292219 336493 359085 748259,55
175515 319736 326694 421056 629548 749140,17
10580 137947 160622 396427 435957 542686 659451 665527,252
182680 200844 428932 732680 759398,21
66172 75032 140166 187585 232399 252530 572843 666533 774140,284
58094 142840 192675 311538 320648 385669,35
26406 75805 137773 185218 253539 269835 345344 465312 493996 656560,186
12519 12604 290061 345439 429637 508608 521167 685746 741741,134
44047 67481 149476 304769 346582 390132 391704 584780 741489,85
6676 31085 166166 185698 199132 433863 451243 547601 548344,581
81342 248165 289083 305889 531678 539905,23
12715 63150 508818 542031 569542 574275 751720,86
8382 170640 383723 444785 738337,173
23371 37133 77984 159843 274849 289739 724591,2024
80837 153414 157152 243806 443055 481206 565353,52
37448 178974 205690 233431 433769 459895 561092 570095 732798,135
179421 185597 206847 265809 362221 504178 573036 769205,45
100442 137962 139998 194349 322597 402618 405771 642520 642566,127
2175 276987 408212 462105 614349,2281
200845 241303 254785 652816 770888,13
300211 346290 393108 496147 518004,24
129557 155448 337528 348488 420912 587788 728014,20
108792 335967 412845 504643 518104 579168 607173 650812 729102,37
121018 182313 260205 314330 654359 728480,22
91482 287688 413876 645240 694075 756644 770171,25
73351 76696 138288 177888 418210 602902,45
5776 13215 164078 208277 331004 377618 383979 572642 645003,890
79687 92608 172577 241446 373654 383850 670239 685731 749123 781093,116
41094 77828 110618 177912 184390 210566 231023 257416 509025 755130,60
209646 283056 525934 561048 571947 702575 735333 774370,22
105580 148477 275370 293997 545425 630037 683797 713205 762267 804138,111
82445 281931 285034 347295 471801 522918,19
125705 165532 227374 287571 309709 338657 468336 645780,31
33145 134570 228242 366658 553132 632201 653729 756446 776961,60
103064 181138 222654 292263 312894 347465 394210 424809,22
171530 324454 544608 692666 754647,22
190078 333967 352889 380478 629198 678710 707638,25
45771 85663 133824 158119 168338 312500 432109 571753 703505 805527,102
33947 432771 451771 526216 552898 559680 603122,21
110399 125477 143399 289378 366681 623464 734269,326
43956 84667 279330 283665 314423 364055 530625 546293 677679,62
52608 287146 289082 364736 655856 766809,66
109286 199153 357091 516525 696950,8
95585 417068 426592 460470 506569 638135 671491 694646 750686,46
102480 173659 180560 278158 338612 351081 354617 498307 752380,42
20176 21144 95800 274797 618771,93
43639 56077 183406 186640 251210 357922 405904 445819 693302 767834,274
12360 90724 109272 205922 282897 696014,101
128401 437206 501966 674030 703924 741163,12
82089 114273 155287 442821 449461 588387 666073,31
24174 216473 270535 310049 629867 631485 738040 753646 767551,42
45058 187934 224337 256986 264961 476955 612082 655032 757386,33
15191 225939 228253 252936 574538,107
335616 392065 475906 481407 590978,12
17917 260531 291482 298476 316434 319826 423508 608898 644324,38
50074 280435 301415 416709 446545 456085 560090 590909 723944 763570,41
228144 233934 352778 506534 551366 743011,44
53267 121208 196151 252535 537570 566482,72
114988 116257 147400 363618 493192 529327 659108,91
154485 204467 252594 293785 310794 400085 670241 745178,31
1476 48047 237279 243339 248180 398554 419076 708650 759025,35
20093 214011 310005 342457 537331 568627 587364,20
56596 124416 399681 423761 503340 613689 637504,92
100266 282319 483272 622104 646625 710821,38
23275 111028 158198 187933 231390 621976 753149,229
209438 354596 422978 534323 598778,33
6051 17422 166109 385406 452618 475204 481377 528608 722643,8137
26717 132145 134764 136332 219231 273419 340774 514151 728847 773524,159
