2500 376 971,430029
2130 713,145099
434 435 8137,543666
453300 6284 968,122218
1177 36625 69,1418709
13892 1849,362172
19768 2086 4699 757,308483
197 313 42805 79,2080122
1522 808,190748
1033 784 8380 9705,234701
382 43886 7507,293213
145190 3241 347 4573,164481
3710 615455,73693
597470 97869,568
26849 32870 354 42,2036031
12791 16540 788 9977,145596
1036 2960 758 9505,226648
305659 547 71781,124746
1935 2685 2997 6540,378613
28288 8089 91,1166471
237 336825,251651
4453 49731 5761,19731
12975 13389,23923
20936 2413 49966 5952,25144
2685 6893,422226
194 376 422,704635
43178 5138 5862 79,1902081
1719 36696,76139
132 15756 354,691216
2755 391 5981 8094,143510
1336 2352 242947 32468,164550
1442 3158 8309 877,300999
146 2002 309 7218,466531
1211 1655 18930 58631,42250
52410 848,78448
1160 435 45157,347489
63 94,2430141
1444 42 80,2699603
10076 329422 434 686,540766
143134 25075 465784 7946,24251
2769 694 941,319835
10971 14839 33824 9140,13302
10177 609 743,193079
173 434,692223
1511 2685,361553
40 98367,1454978
1288 19518 4443 63,1511031
13777 4691 5 69438,5106703
34057 347 7557,147900
2098 27558 772,173612
1253 2292 23682 6230,51831
1357 1462,76090
2701 3114 901 9506,368117
109 20971,368893
183 18651 5985 9944,274810
4908 508 5581,276983
2431 43021 5005,18670
7244 759,199818
326 33605,439016
3037 3272 53472,45473
5237 634 744,187466
210757 326 6893,637788
1736 218545 3141 5877,150779
213 3140 475 5100,313835
28264 826,112645
3710 391702 42752 6893,289552
11897 134211 20870,2164
19919 6553,10613
106 227169 416401 703,671523
12678 29501,2517
141178 3412 370550 534612,49648
1159 15971 17817,53738
2670 574,125481
109130 135 252 41394,506051
1075 6052,124148
26998 49,1723996
4999 63,1506231
104 650533,536030
2168 5886 834,149371
18425 382 594 7870,446247
223 3710 38258,251810
193 22233,243187
1154 2683 354 901,686197
1311 2151,135757
116 4808,438670
22413 4147 426 6886,220147
1243 3256 60,1501216
1159 2282 3059 428,320283
126978 6305,7545
106 6284 822,831366
42 426 4908,1795362
215 5581,291706
2688 354,409297
13870 247677 3500 50981,25456
1659 19094 4466,53718
3208 428 43,1868641
11459 151 5803,527324
2507 4934,192598
1719 18088 20258,76847
1267 737,114014
1714 64 700126,1504981
105679 69,1364142
1048 30458 3197 42092,171775
2851 5129 6908,35332
17874 18055 7936 9666,13138
218081 337 43336 87067,260911
104 37849 4181,561103
11006 254064 7896,20355
1021 12657 2656,68118
32937 4959 64,1496918
