312 376 79,15882
187 5332 972,25
3141 3142 3144 634,54
435 878,6861
1095 5808 752125,1069
20501 38 42 6284,19
3874 4861 720844 777893,6
6189 8009,74
212617 6893,2161
1367 326 435,501
1168 323 381590 6482,102
1460 23740 36625 394,10
323 570815,97
6947 781 822,17
198 2798 63,2740
1214 183 2683,723
1849 354 5115,1085
37573 79,1265
1095 13843,2250
17788 42,2076
1735 213 98,35
187 735,1007
16099 574 6426,9
24620 316 49509,13
24640 8437,573
4828 508,722
1605 1606 1608 391,1969
14772 312 381,84
15303 757,18
30776 80,15
6297 97,6
2194 2711,803
11694 1897,435
34185 7547,13
3490 482,266
2685 43206,277
353 38,925
2713 312,3868
15895 32599 79,14
13615 4934 709,878
191 6468 859,18
1849 6448 70484,2340
326 4937,613
68826 859,29
145375 213,8
10099 184 901,6
1511 4029,105
10076 1311 3027 79,35
1337 30636,139
10527 1263 758,15
1146 267906,17
1066 9856,18
164923 276938 323,1413
5688 9504,755
1422 41 432,45
5413 797,79
10088 20570 2683,234
12037 13388 38,65
4934 53664,239
16479 201 2685 295626,419
299 44743 879,50
6893 8528,3049
2538 701 702,16
1710 63 64,2097
1575 310,53
5 79,5712
4051 4498,25
1168 323,58178
1296 2685 354,294
337 42 5409,10
17646 7272,11
15610 545,23
1705 2115,900
12947 1849,1221
12309 4404 48,3557
1442 2317 36062 966,8
11003 2101 28717 375,16
1561 2035,60
13431 43 55949,23
32631 7791,80
200938 79,12
30852 605,43
13681 195944 354,5
2701 354 72790,11
21331 2540 54905,6
16724 2685 328,259
11965 1849,873
21016 2151,51
1168 213,180
1048 381 63 822,133
2858 41925 4404,786
1337 227,588
104 1177 2350 8200,7
133 135 93,4726
20651 831,242
13194 191858,999
3027 6189 770,39
183 2755,350
1845 49594,115
1524 1617 1763 27568,46
1301 795,2509
14429 2191,56
184 40 4646 83,791
11514 2174 79,37
12960 60233,121
180 2710,2646
2086 3486 34897,58
1511 2685 8020,16
3621 4934,7
315 795,4512
177 36163,235
17181 701,99
148692 779 822,16
10251 997,60
2286 3277 395,5
2709 8292 989,11
13101 381 79,284
106 2335 49 702203,16
116 117 5424 694,11
4992 548,43
1048 1460 4999,59
114276 2098 37716 878,344
180063 2685 354 6681,7
104 945,583
10250 1849 38,127
3545 3892,212
213 2200,708
1048 2728,125
3332 6893 87359,34
2792 8202,485
17853 426,206
15207 2685,4224
323 774161,196
5228 734,1799
3319 970,37
1181 1773 1897 353,21
112617 695192,149
354 4211,1290
45010 878,116
1337 20267,13
12322 426,482
2164 391,7801
25223 700713,6
2086 33017,53
1048 2074 4907,153
3868 9228,10
13758 50,8
133063 2685,8
134 359 8256,76
12971 381,26
1774 551,32
17788 3141,255
1282 1303 1311 1903,5
104 3027,5638
10853 151,77
15136 41261,106
3037 428,469
49 65497,318
193 382,2992
3868 437 60726 731,5
15895 1746 434 795,10
3272 8913,8
1282 14615 394,9
1 227,1289
3114 33627,20
3338 37594,20
1441 37757 5181,5
1849 19768 223,1513
10005 98,7
1095 186967 6482 656679,234
106402 11580 24523 699,7
1420 737,18
3709 508 80,7
14132 6893,2841
1367 35800,85
2086 25596 38,93
323 6482 695760,50
1296 68,1085
38 69 79,716
1104 9416,1058
11598 1856,164
15393 6853,134
16098 8386,90
1524 1617 184 877,1568
28724 5909,11
348991 43,18
5506 57416,123
2151 2583,280
2685 299 5998 5999,152
156345 1740 23460 2685,41
38 47823,8
100580 187 52344,8
1514 23269 2997 9062,22
2164 5,3109
48 67 795,16
315 4959 9011,29
223781 223782 323 6482,1378
17770 20701,841
1860 365,327
31 312 382,976
2404 55105,5
250 83,188
304 39060 6657 75,9
1290 5074,102
18579 326,72
8277 869,9
1168 176084 277900 968,8
115029 4492 8379,5
312 428 60,836
15486 2352,170
3540 6346,42
1095 1579 2971,20
15835 20701 79,5
3141 822,5539
186967 6482 731076,93
3033 41 7221 822,8
105 25018 4689,98
1849 27566 6448,4601
250873 6893,49
15895 230 4006,41
213 5052,161
4565 63 822,40
11575 48,1624
2023 842 843,33
132 359,5730
1006 847,40
2174 507 879,126
13770 2061,18
11575 15717,13
1719 2879 40 7547,18
2685 39,584
13087 631,58
194446 323 6482,5565
4561 822,801
361 381,600
1080 7448,7
435 94345,9
155 5877,267
12285 13389,16
3255 3540,793
213 235 381,42
10255 3027,168
1524 1617 184,36923
37810 748,34
210 901,15231
186 187,1427
1661 5565,61
1617 353,3980
177 197 79,566
215 54648,6
1896 376 5884 834,610
1336 768,832
104 1745,1614
1659 798,61
14819 382 79,176
21029 748,42
1296 2685 434,771
106 314 376,1368
5228 547,40
1562 197 434,185
1357 1450 748,96
1615 180,35
12260 34237,18
10504 209,166
14074 1441,14
164923 6482,7231
1164 6157,44
1570 2710 437 768,125
209 41 56464,7
1263 2071,975
10749 1304 42 48,870
23269 376,33654
2997 381 9062,21
39514 434 435 7788,17
142 1453,189
2134 2807 6238,70
1243 901,3303
1095 179722 4114,6
1224 5,1920
1301 323 7700,10
1736 57,516
105933 194,72
1849 2335,65076
