query,cardinality
6862 43031 72652 104701 107462,1
34599 41736 99459 107443,1
32832 41661 103444 104305,2
381 101961 105365,22
15693 39265 43725 99651 102566,2
14810 62062 69636 84350 106738 107754,1
36961 106868 109164,1
2736 23245 27536 39607 100701 105254,5
10359 49259 60999 99717 102315,2
29036 80278 83131 104872 108533,2
989 84575 104407 105128,8
19715 62962 100341 101516,2
2082 40189 47333 75279 101337 104330,2
30051 69596 75115 79400 104129 105728,4
17081 56280 101766 105492,14
6042 57593 99568 104015,2
16578 23785 79365 100778 102395,1
25724 39030 67529 79069 101171 101215,2
66230 75975 84449 102825 107984,1
75184 102867 107664,2
40796 59488 99667 105596,1
29784 34632 43276 105238 106496,2
8678 41776 43527 106532 106550,7
3667 49505 83806 99551 109339,19
52279 104529 107309,1
12804 26235 76310 102579 106019,1
22082 104163 107666,8
5419 18038 60699 101805 104781,10
53033 68204 83159 102803 105158,1
14626 75705 100819 109104,4
37100 54796 63414 99449 100374,2
32896 35250 57165 85120 106524 108088,1
58069 100739 102712,1
12641 34154 102662 109029,1
24834 30958 58570 70943 100175 103860,2
82175 99992 103724,1
3627 67049 101953 102223,5
35066 91596 100998 103668,2
64709 107294 107897,1
53003 57156 87871 104738 107166,2
26226 61776 73581 99325 99403 107208,1
15002 17724 38219 50549 99720 102909,1
58644 101465 102158,1
6592 46542 58233 70446 101025 105011,4
9844 25636 30182 93411 99702 101514,5
19359 30880 88763 94397 103202 103297,6
1897 104364 107018,6
38728 41047 69660 101315 105323,8
21951 44105 73658 78364 101607 107775,1
46381 48390 73193 104324 107803,1
3441 13402 26723 37359 104540 105013,8
57169 105803 106326,2
12032 14005 72144 72661 103796 106566,12
43432 46802 63784 100161 101805,1
50997 101512 107115,1
43364 83874 90325 104017 108467,1
22678 40695 47903 89076 100581 106797,7
24449 62110 67124 100804 107482,2
40919 59532 101624 108819,1
40059 103859 105803,3
7689 24028 32236 33546 103021 109290,2
40905 65162 101913 106591,1
57559 107181 107662,1
39244 65803 72702 73219 102931 103179,1
22991 73999 85764 105500 106117,7
46516 61146 102646 106370,1
42520 69725 86683 105295 107778,1
19270 40857 59770 60871 103004 107315,2
55250 83143 108411 108729,3
84355 103301 105537,1
12769 18697 28900 101492 105583,3
73108 100762 102107,1
5384 29475 69528 83137 102158 109267,5
13806 34825 93496 101312 108204,19
68664 80885 108215 109188,1
2705 55289 74646 104343 106865,5
20759 24714 80962 101327 105825,2
34967 50610 73074 79115 102585 103312,4
40433 45119 45916 99545 107152,1
588 53860 81333 81625 99675 106727,2
74297 100627 106246,1
19004 91396 107619 108462,3
9900 75690 108217 108234,2
63571 101443 102982,1
12882 48709 81676 100623 103298,2
5480 6695 42596 79945 103718 104451,2
20975 67972 102561 102718,1
38451 61352 70422 102004 103418,1
23824 40189 41927 76603 103125 107436,7
13621 69466 84156 104391 106177,1
8894 47055 57722 67505 106141 108753,1
82674 102249 102886,1
9672 26238 37456 47202 103449 103940,13
35160 50155 57165 99492 109155,1
70153 74591 101946 107349,2
28198 69625 82696 100280 104154,3
13578 20841 104470 108430,5
12418 69051 73764 97721 102858 103680,7
5864 87971 103467 104278,1
58577 92447 100144 106298,1
